requirement_text,quality_label
The system should be efficient and easy to use.,Ambiguous
The system should be reliable and easy to use.,Ambiguous
The system must validate settings before reset their password.,Complete
The module must display notifications but skip it under normal mode.,Inconsistent
The software shall display error message when registration occurs.,Complete
The system should be dynamic and easy to use.,Ambiguous
The system shall allow users to export data within every hour.,Complete
The system should be user-friendly and easy to use.,Ambiguous
The application must display notifications after system start.,Complete
The system should be simple and easy to use.,Ambiguous
The system should be powerful and easy to use.,Ambiguous
The system should be user-friendly and easy to use.,Ambiguous
The user shall be able to log the user out from the dashboard.,Complete
The platform shall generate user profile every 1 day.,Complete
The system should be fast and easy to use.,Ambiguous
The application must store logs after login.,Complete
"The system shall perform send an email only if shutdown, otherwise always refresh the page.",Inconsistent
The system should be efficient and easy to use.,Ambiguous
The application should both reset their password and avoid reset their password.,Inconsistent
The system should be modern and easy to use.,Ambiguous
The application must log the user out after system start.,Complete
The application must store logs after login.,Complete
The system shall allow users to save the file within every hour.,Complete
The system should be dynamic and easy to use.,Ambiguous
The system should be secure and easy to use.,Ambiguous
"The software must log the user out unless network failure, but always store logs.",Inconsistent
The software shall display transaction details when timeout occurs.,Complete
The application must display notifications after registration.,Complete
The system should be intuitive and easy to use.,Ambiguous
The application must display notifications after timeout.,Complete
The user shall be able to delete old records from the dashboard.,Complete
"The software must log the user out unless shutdown, but always save the file.",Inconsistent
The system should be efficient and easy to use.,Ambiguous
"The system shall perform reset their password only if system start, otherwise always refresh the page.",Inconsistent
The module must update the database but skip it under normal mode.,Inconsistent
The application must log the user out after login.,Complete
The system should be efficient and easy to use.,Ambiguous
The system should be responsive and easy to use.,Ambiguous
The platform shall generate activity log every once per session.,Complete
The system should be user-friendly and easy to use.,Ambiguous
The app shall record transaction details when error occurs happens.,Complete
The user shall be able to save the file from the dashboard.,Complete
The system should be user-friendly and easy to use.,Ambiguous
The application should both delete old records and avoid delete old records.,Inconsistent
The system should be simple and easy to use.,Ambiguous
The platform shall generate error message every every hour.,Complete
The user shall be able to update the database from the dashboard.,Complete
The platform shall generate user profile every once per session.,Complete
The system shall log the user out but also shall not update the database.,Inconsistent
"The software must reset their password unless timeout, but always refresh the page.",Inconsistent
The platform should export data but ignore store logs in maintenance mode.,Inconsistent
The system should be user-friendly and easy to use.,Ambiguous
The module must display notifications but skip it under normal mode.,Inconsistent
"The system shall perform track user activity only if login, otherwise always delete old records.",Inconsistent
The platform should delete old records but ignore generate a report in maintenance mode.,Inconsistent
The platform should update the database but ignore track user activity in maintenance mode.,Inconsistent
The module must update the database but skip it under normal mode.,Inconsistent
The system should be modern and easy to use.,Ambiguous
The module must generate a report but skip it under normal mode.,Inconsistent
The system should be reliable and easy to use.,Ambiguous
The system must validate activity log before refresh the page.,Complete
The module must save the file but skip it under normal mode.,Inconsistent
The system should be attractive and easy to use.,Ambiguous
The user shall be able to store logs from the dashboard.,Complete
The platform should generate a report but ignore reset their password in maintenance mode.,Inconsistent
The system should be responsive and easy to use.,Ambiguous
The system should be efficient and easy to use.,Ambiguous
The system must validate transaction details before display notifications.,Complete
The user shall be able to save the file from the dashboard.,Complete
